id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1573,"Set pink 'Nohi'","Conjunto de blusa con botones y moñitos laterales color rosa, falda con botones color rosa. Disponible en tallas XS, S, M, L, XL",https://malaelsv.com/wp-content/uploads/2022/07/187234290_1124240204720076_3729356747843117467_n.jpeg,https://malaelsv.com/product/malael-25/,"Conjuntos","Malael",33.55USD,in stock,wc_post_id_1573,,"https://malaelsv.com/wp-content/uploads/2022/07/185831527_786830625591507_7160108975042833238_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/183650188_267321441812457_4026972653886313843_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/192015762_1004618106740040_6881778401947498350_n.jpeg",,,new,published,,,,,,,
wc_post_id_1552,"Set pink estampado floral","Conjunto con top corto con cordón delantero y falda fruncida en tiempos. Set completo color rosa disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/183824564_1115506038916809_7707759391625655476_n.jpeg,https://malaelsv.com/product/malael-24/,"Conjuntos","Malael",30USD,in stock,wc_post_id_1552,,"https://malaelsv.com/wp-content/uploads/2022/07/188406674_140170811475849_7821315925135398653_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/185132447_6190898954260894_1845059438723151500_n.jpeg",,,new,published,,,,,,,
wc_post_id_1569,"Conjunto de overol color morado lila","Overol color morado lila con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172150152_1118487368619058_7227130378481211842_n.jpeg,https://malaelsv.com/product/malael-23/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1569,,"https://malaelsv.com/wp-content/uploads/2022/07/164987343_369957854711230_2901564610018496830_n.jpeg",,,new,published,,,,,,,
wc_post_id_1567,"Conjunto de overol color beige","Overol color beige con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172890591_274901504354764_1367933728988587287_n.jpeg,https://malaelsv.com/product/malael-22/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1567,,"https://malaelsv.com/wp-content/uploads/2022/07/175631362_119177733608666_382962184590780968_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/171650617_776539323066086_951615068062881086_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/164055246_484863699596934_207450945606298996_n.jpeg",,,new,published,,,,,,,
wc_post_id_1564,"Conjunto de overol color turquesa","Overol color turquesa con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/163633361_3866985130003575_3311723151313264373_n.jpeg,https://malaelsv.com/product/malael-21/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1564,,"https://malaelsv.com/wp-content/uploads/2022/07/168351659_195361268782404_456705230196881703_n.jpeg",,,new,published,,,,,,,
wc_post_id_1562,"Conjunto de overol color amarillo","Overol color amarillo con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172174336_166149308624011_5173861069561224049_n.jpeg,https://malaelsv.com/product/malael-20/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1562,,"https://malaelsv.com/wp-content/uploads/2022/07/165678718_1673920459458176_1100095714929693419_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/163324910_1124554128014988_2130549924822405087_n.jpeg",,,new,published,,,,,,,
wc_post_id_1560,"Conjunto de overol color rojo","Overol color rojo con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/173491139_276924650701372_4471023882293493997_n.jpeg,https://malaelsv.com/product/malael-19/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1560,,"https://malaelsv.com/wp-content/uploads/2022/07/166773811_201086638089932_1004893482319755475_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/163385840_914053169348513_4083668294737912282_n.jpeg",,,new,published,,,,,,,
wc_post_id_1557,"Conjunto de overol color rosa","Overol color rosa con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/167665528_283827043272258_2734500502992121687_n.jpeg,https://malaelsv.com/product/malael-18/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1557,,"https://malaelsv.com/wp-content/uploads/2022/07/163528983_242574877564637_5414145836512305813_n.jpeg",,,new,published,,,,,,,
wc_post_id_1554,"Conjunto de overol color aqua","Overol color aqua con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño.Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/162914769_1646538195547309_3880260572728036931_n.jpeg,https://malaelsv.com/product/malael-17/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1554,,"https://malaelsv.com/wp-content/uploads/2022/07/172138016_1068207153704940_4130051517537242001_n.jpeg",,,new,published,,,,,,,
wc_post_id_1497,"Falda tableada con líneas color morado lila","Falda paletoneada color morado lila con cinta de rayas blancas con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/163252916_800102954248138_2327616171144805100_n.jpeg,https://malaelsv.com/product/malael-16/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1497,,"https://malaelsv.com/wp-content/uploads/2022/05/156570939_447327426466220_6200753489641502305_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/162851173_263374515285687_7212458042409324203_n-1.jpeg",,,new,published,,,,,,,
wc_post_id_1494,"Falda tableada con líneas color negro","Falda paletoneada color negro con cinta de rayas blancas con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/155267065_220696823070395_5233871225762090400_n-1.jpeg,https://malaelsv.com/product/malael-15/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1494,,"https://malaelsv.com/wp-content/uploads/2022/05/163980312_4063593813672699_830040969196790922_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/161400987_4025990210814707_5348422025816734466_n.jpeg",,,new,published,,,,,,,
wc_post_id_1491,"Falda tableada con líneas color blanco","Falda paletoneada color blanco con cinta de rayas negras con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/156219966_469753731069916_5907876424632925545_n.jpeg,https://malaelsv.com/product/malael-14/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1491,,"https://malaelsv.com/wp-content/uploads/2022/05/160312667_495259244809586_5141888955271544262_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/145081980_115910130441120_1064706593120932079_n-1.jpeg",,,new,published,,,,,,,
wc_post_id_1488,"Falda tableada con líneas color rosa","Falda paletoneada color rosa con cinta de rayas blancas con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/143825384_842976526269654_9062274905395076691_n.jpeg,https://malaelsv.com/product/malael-13/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1488,,"https://malaelsv.com/wp-content/uploads/2022/05/160359001_2982822865272232_1802748558474910053_n-1.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/163185011_742944699920945_1469032768197398028_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/163336679_130504189007277_5451515412814392223_n.jpeg",,,new,published,,,,,,,
wc_post_id_1486,"Falda plisada de talle alto color blanco","Falda de paletones unicolor, color blanco con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/141227776_724837538427267_4763485635591078566_n.jpeg,https://malaelsv.com/product/malael-12/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1486,,,,,new,published,,,,,,,
wc_post_id_1484,"Falda plisada de talle alto color verde","Falda de paletones unicolor, color verde con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/138942283_1372876516400256_4249473200100465222_n-1.jpeg,https://malaelsv.com/product/malael-11/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1484,,"https://malaelsv.com/wp-content/uploads/2022/05/139306564_251694402975647_7814934501189282307_n.jpeg",,,new,published,,,,,,,
wc_post_id_1482,"Falda plisada de talle alto color morado lila","Falda de paletones unicolor, color morado lila con zíper lateral Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/137323444_414758173127591_9132305018226288172_n.jpeg,https://malaelsv.com/product/malael-10/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1482,,"https://malaelsv.com/wp-content/uploads/2022/05/139710252_2787401928178791_6384076958366568046_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/145239770_2833083013571765_9074294805566315247_n.jpeg",,,new,published,,,,,,,
wc_post_id_1480,"Falda plisada de talle alto color celeste","Falda de paletones unicolor, color celeste con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/137621512_212178953872958_6686006875026383844_n.jpeg,https://malaelsv.com/product/malael-9/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1480,,,,,new,published,,,,,,,
wc_post_id_1478,"Falda plisada de talle alto color rojo","Falda de paletones unicolor, color rojo con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/134739573_2468237109989025_8571411607384827409_n.jpeg,https://malaelsv.com/product/malael-8/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1478,,"https://malaelsv.com/wp-content/uploads/2022/05/133967466_891222024955579_8797758113846570264_n-1.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/134971360_425983288541283_6796306287519053278_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/153202507_336749267697662_3232389885389152654_n.jpeg",,,new,published,,,,,,,
wc_post_id_1476,"Falda plisada de talle alto color rosa pastel","Falda de paletones unicolor, color rosa con zíper lateral 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/132292108_827017791201963_7147030933149789370_n.jpeg,https://malaelsv.com/product/falda-plisada-de-talle-alto-color-rosa-pastel/,"Faldas","Malael",19.5USD,in stock,wc_post_id_1476,,"https://malaelsv.com/wp-content/uploads/2022/05/132031775_1545275922322605_5622312804032183629_n-1.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/132189926_727733201434528_8160892506909855240_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/139362867_1141507689615344_5987396458497215414_n-1.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/150584980_1656251794558009_9115796709380778386_n.jpeg",,,new,published,,,,,,,
wc_post_id_1474,"Crop top de amarrar tirantes + Scrunchies","Crop top fruncido blanco de amarrar tirantes sin ruedito y scrunchie 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/126023097_2723754234608228_4244747906729733847_n.jpeg,https://malaelsv.com/product/malael-7/,"Crop tops","Malael",15USD,in stock,wc_post_id_1474,,"https://malaelsv.com/wp-content/uploads/2022/05/130139514_1102688500157462_8476557913805251904_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/130448168_424252265405427_771044506563946204_n.jpeg",,,new,published,,,,,,,
wc_post_id_1472,"Crop top sin mangas + Scrunchies","Crop top fruncido de tubo color aqua y scrunchie 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/130776621_216107776787140_6761084117159510277_n.jpeg,https://malaelsv.com/product/malael-6/,"Crop tops","Malael",15USD,in stock,wc_post_id_1472,,"https://malaelsv.com/wp-content/uploads/2022/05/125327720_4128421797174085_5902846324958085700_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/125792105_221128429429599_3955304142437737933_n.jpeg",,,new,published,,,,,,,
wc_post_id_1470,"Crop top off shoulder + Scrunchies","Crop top fruncido hombros descubiertos con mangas largas caídas y scrunchie 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/125314984_481570369482617_2573441859445015594_n.jpeg,https://malaelsv.com/product/malael-5/,"Crop tops","Malael",15USD,in stock,wc_post_id_1470,,"https://malaelsv.com/wp-content/uploads/2022/05/130776115_1790192487805896_1855806973630092114_n.jpeg",,,new,published,,,,,,,
wc_post_id_1468,"Crop top off shoulder con moños + Scrunchies","Crop top fruncido color verde menta con mangas caídas y moñitos además incluye scrunchie  
Disponible en talla XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/125381613_363222451447103_3102572316972874820_n.jpeg,https://malaelsv.com/product/malael-4/,"Crop tops","Malael",15USD,in stock,wc_post_id_1468,,,,,new,published,,,,,,,
wc_post_id_1466,"Crop top de tirantes + Scrunchies","Crop top fruncido color rosa de tirantes más scrunchie 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/130873876_139651594378601_7852195562265461169_n.jpeg,https://malaelsv.com/product/malael-3/,"Crop tops","Malael",15USD,in stock,wc_post_id_1466,,"https://malaelsv.com/wp-content/uploads/2022/05/125503668_844119969748792_5557494052259887101_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/125418917_365141337912615_2704526952453619309_n.jpeg",,,new,published,,,,,,,
wc_post_id_1464,"Crop top halter + Scrunchies","Crop top de corte halter fruncido espalda descubierta color coral y scrunchie 
Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/125769277_795387467679444_8880498166640117355_n.jpeg,https://malaelsv.com/product/malael-2/,"Crop tops","Malael",15USD,in stock,wc_post_id_1464,,"https://malaelsv.com/wp-content/uploads/2022/05/128491935_3311235375671326_2435924947259842344_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/125313519_3630242180393170_1104421382007535632_n.jpeg",,,new,published,,,,,,,
wc_post_id_1461,"Crop top de tirantes + Scrunchies","Crop top fruncido de tirantes color rojo y scrunchie  
Disponible en talla XS, S, M, L, XL",https://malaelsv.com/wp-content/uploads/2022/05/125276898_2790929034523304_6001099487364914361_n.jpeg,https://malaelsv.com/product/malael/,"Crop tops","Malael",15USD,in stock,wc_post_id_1461,,"https://malaelsv.com/wp-content/uploads/2022/05/125283209_153675699775486_6733037718870786892_n.jpeg",,,new,published,,,,,,,
wc_post_id_1459,"Crop top off shoulder + Scrunchies","Crop top de hombros descubiertos fruncido color morado y scrunchie. Disponible en tallas XS, S, M, L, XL",https://malaelsv.com/wp-content/uploads/2022/05/125769976_1276736856004371_5693205592023452885_n.jpeg,https://malaelsv.com/product/crop-top-off-shoulder-scrunchies-malael/,"Crop tops","Malael",15USD,in stock,wc_post_id_1459,,"https://malaelsv.com/wp-content/uploads/2022/05/125819890_3657350514329375_1339262744595253788_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/125248371_134105001423620_1994781578529042099_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/01782823-7030-4b1e-8c76-08475d170f7a.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/131050173_835498270355230_1030524013472390060_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/131002533_3997373700274352_9047755382725056882_n.jpeg",,,new,published,,,,,,,
